1C,每日抽查多名员工（包括驻场服务人员）的工作着装、形象和岗位纪律。,职业着装，无缺人少岗，发色自然色。,D,1,1,项目负责人,项目负责人
1C,检查每日投诉、报修、咨询记录：1.关注处理及时率、处理完成率、有无特别事件；2.对重点事项及时督办。,客服负责人有监督记录，处理及时率不低于90%，当天完成率不低于80%。,D,1,1,项目负责人,项目负责人
1C,装修监管：抽查装修管理制度是否执行到位，是否有违规装修。,1.装修户100%已办理装修申请；2.装修户100%每天有人巡查。,W,1,7,项目负责人,项目负责人
1C,巡查配电房，内容：1.防鼠、防虫、防潮、防涝、防火等设施是否定期检查或更换；2.保养效果与标准是否符合要求；3.维保或管理记录是否规范完整。,1.房门有上锁，房内无水患，无垃圾无杂物堆放，防鼠挡板完好、工具摆放整齐；2.设备完好无损，无安全隐患；有按要求巡查，定期保养。,W,1,7,项目负责人,项目负责人
1C,风机房检查：抽查是否上锁，标识是否清晰完整，设备是否定期保养，巡查记录是否完整。,1.房门有上锁，房内无垃圾无杂物；2.设备完好，有定期保养，有巡查记录。,W,1,7,项目负责人,项目负责人
1C,电梯设备检查：抽查电梯轿厢,轿厢内无异味、无垃圾，年检证在有效期内，按键及层显正常；有按时保养，设备运行正常。,W,1,7,项目负责人,项目负责人
1C,抽查水泵房：泵体、管道、控制柜、水位报警、储压罐、水箱等是否正常，有无安全隐患。,1.控制柜有编号有标识；2.水泵运行无异响，管道无滴水漏水，压力值在安全范围内，水流导向指示清楚可见，测试排水泵可正常启动；3.水池水箱检修口上锁；4.有及时维保养及管理记录。,W,1,7,项目负责人,项目负责人
1C,抽查排水系统：抽查天面天台排水口、排水沟、集水井、污水泵等,1.楼顶天面无垃圾堆放，天面排水口无堵塞；2.地面排水沟无垃圾，排水通畅；3.集水井垃圾及时清掏，积水不得超过排水口最高点；4.测试污水泵可正常启动。,W,1,7,项目负责人,项目负责人
1C,抽查停车收费情况：收费情况与实际是否相符。,无少收、无多收，账钱相符，无收费漏洞。,W,1,7,项目负责人,项目负责人
1C,巡查泳池：检查开放时间、安全救生员、水质、救生措施，查看有无安全隐患、标识物。,1.开放时间符合规定；2.现场有持证救生员当值，救生设备齐全，现场有醒目的安全提示，安全防护设施无损坏；3.水质清澈、有定期投放消毒药物，水循环系统正常。,W,1,7,项目负责人,项目负责人
1C,抽查消控中心：查看是否有交接班，设备是否运行正常，是否有异常管理。,1.探头可正常显示、无遮挡，定期记录情况；2.消控主机正常运行，设备无损坏，每次警报及时派人核实并有记录；3.消防设备齐全，无损坏无丢失，水管压力正常，灭火器压力正常，消防通道无堵塞，应急照明正常等。,W,1,7,项目负责人,项目负责人
1A,绩效考核：每月初对员工或供应商上月的绩效及团队状态进行考核评估，并沟通反馈考评结果与意见。,考评结果有客观依据，符合20%优秀、70%合格、10%要提升。,M,1,31,项目负责人,项目负责人
1C,抽查业主档案、设备台帐、收费台帐的完整性及更新情况，保持档案、台帐保存完整、更新及时。,1.设备台帐变动，1个月内有更新；2.业主档案变动，2个工作日内有更新；3.收费台帐变动，当天内有更新。,M,1,31,项目负责人,项目负责人
1C,对项目进行例行夜查（每月多次）：关注有无睡岗现象及人员在岗状态。,0点-6点无规律突击检查，无人员睡岗脱岗。,M,1,31,项目负责人,项目负责人
1C,监督二次供水储水设备清洗，跟进水质送检结果是否符合标准,1.清洗人员有健康证，水质检验报告合格。2.关注大肠菌群、菌落总数、PH值、余氯等检测项目。,Y,101,630,项目负责人,项目负责人
1C,监督二次供水储水设备清洗，跟进水质送检结果是否符合标准,1.清洗人员有健康证，水质检验报告合格。2.关注大肠菌群、菌落总数、PH值、余氯等检测项目。,Y,701,1231,项目负责人,项目负责人
1A,完成项目年中工作总结与报告。,总结工作内容全面，运营数据与指标有对比。,Y,101,630,项目负责人,项目负责人
1A,完成项目年度工作总结与报告。,总结工作内容全面，运营数据与指标有对比。,Y,701,1231,项目负责人,项目负责人
1A,完成半年度经营性收支报表公示。,公示内容正确无误，公示及时。,Y,101,630,项目负责人,项目负责人
1A,完成半年度经营性收支报表公示。,公示内容正确无误，公示及时。,Y,701,1231,项目负责人,项目负责人
1C,检查客服交接班记录：1.事件交接，物品交接，内容要求清楚明确；2.接班人员明确是谁，负责跟进处理。,1.换班100%有人交接，接班人及时到岗；2.交接事务、物品的内容没有遗漏，接班人了解清楚后续处理要求。,D,1,1,客服负责人,客服负责人
1C,巡查装修户：关注是否有人定期巡查，是否有违规装修，施工是否影响其他住户,1.按规定时间装修；2.装修施工无影响其他住户；3.无违规装修，装修垃圾自主清理，不乱堆乱放。,W,1,7,客服负责人,客服负责人
1A,汇总欠费催缴情况：包括欠费原因、解决建议，上报项目经理。,欠费原因100%了解，上报信息准确无误。,W,1,7,客服负责人,客服负责人
1B,落实园区节目气氛布置（春节、元宵、中秋、国庆、圣诞）。,提前1天完成准备及布置，节目过后次日完成撤下。,Y,101,301,客服负责人,客服负责人
1B,落实园区节目气氛布置（春节、元宵、中秋、国庆、圣诞）。,提前1天完成准备及布置，节目过后次日完成撤下。,Y,401,630,客服负责人,客服负责人
1B,落实园区节目气氛布置（春节、元宵、中秋、国庆、圣诞）。,提前1天完成准备及布置，节目过后次日完成撤下。,Y,701,930,客服负责人,客服负责人
1B,落实园区节目气氛布置（春节、元宵、中秋、国庆、圣诞）。,提前1天完成准备及布置，节目过后次日完成撤下。,Y,1001,1231,客服负责人,客服负责人
1A,办理停车证、出入证：1.核实办理人身份；2.核实交费情况，停车/出入规则告知。,1.办理人证件无错误，材料手续完整（身份证、房产证、行驶证等）；2.规则100%告知办理人。,D,1,1,前台客服,前台客服
1A,进行物品申购：向上级提交月度申购单，做好月度把控和应急预留。,1.申请物品名目与数量无遗漏；2.申请计划有依据。,M,1,31,行政内务,行政内务
1C,巡查公共设施及弱电系统，内容：电灯照明、应急灯、烟道、风口、梯门、单元门禁、可视对讲系统、道闸、弱电管井等是否正常。,1.电灯照明：可正常亮灯；2.应急灯：断电测试，能自动亮起；3.烟道：无异味；4.风口：无堵塞；5.防火门：能自动关闭；6.单元进门：自动关闭，无异响。7.可视对讲系统：正常使用、无损坏；8.道闸：可正常使用；9.弱电管井：门上锁，无乱堆乱放。,W,1,7,工程负责人,工程负责人
1C,巡查电梯机房，内容与要求：1.环境干净整洁，无明显灰尘，无杂物，无鼠患；2.设备是否存在异响、损坏等安全隐患，温度、湿度是否符合要求；3.应急灯、门机装置、曳引轮绳槽 、相序继电器、称重装置、荷载状态开关是否正常运行。,1.定期保养：电梯有定期按时保养记录。2.室内环境：干净无明显灰尘，无杂物、无水患。3.温度：排风机或空调正常启动，机房温度不允许超过40摄氏度。4.设备运作：无异响，无不规律振动冲击。5.平层标识：平层准确度应无显著变化（平层标识与固定标识差额范围在5CM-8CM内）。6.主机控制柜：电气部件无变色，无异味。7.钢丝绳：无起股，无断股。8.限速器：无损坏。9.辅属设施：防鼠挡板完好，缝隙不能>10MM；应急灯完好，可以自己启动；灭火器压力正常。,W,1,7,工程负责人,工程负责人
1C,巡查排水排污系统：地面排水、车库排水、天面的排水沟、集水井、排污管、雨水井是否畅通、无堵塞、无溢水。,1.排水沟：无杂物，排水坡度合理，排水畅顺；2.集水井：无垃圾，积泥不超最底管道口；3.排污管：无堵塞，无漏水。,W,1,7,工程负责人,工程负责人
1C,给水系统巡查，内容：1.水泵房及消防泵房的主机控制柜、泵体、管道、储压罐、压力值、报警系统、排水泵是否正常运行；2.流向标识、操作标识、安全标识是否完好，水池小箱是否密封上锁。,1.加压泵：无异响、无漏水、各编号泵体之间可正常转换；2.控制柜：无灰尘、电路接头无锈迹、指标灯正常、变频控制器正常、标识明确完整；3.管道：水流标识明显、阀门状态标识明显，闸阀、蝶阀的阀芯及法兰连接处是否滴水；4.储压罐：压力在标准值范围内；5.水位警报器：无损坏，无锈迹；6.排水泵：浮球阀正常，自动排水功能正常；7.防鼠挡板：无损坏，无缝隙；8.蓄水池或储水箱：检修口上锁、无水溢出，止回阀、浮球阀、液位控制阀是否动作可靠；9.巡查记录：巡查完成并记录。,D,1,1,工程,工程
1C,电梯机房及轿厢巡查，内容：1.机房环境、保养质量；层门联锁、地坎、限速器、制动器、油杯、油量、限速钢丝绳、松闸板手等是否正常；2.环境整洁，无异响，无水患，无鼠患，温度湿度符合要求。,1.定期保养：电梯有定期按时保养记录；2.室内环境：干净无明显灰尘，无杂物、无水患；3.温度：排风机或空调正常启动，机房温度不允许超过40摄氏度；4.设备运作：无异响，无不规律振动冲击；5.平层标识：平层准确度应无显著变化（平层标识与固定标识差额范围在5CM-8CM内）；6.主机控制柜：电气部件无变色，无异味；7.钢丝绳：无起股，无断股；8.限速器：无损坏；9.辅属设施：防鼠挡板完好，缝隙不能>10MM；应急灯完好，可以自己启动；灭火器压力正常。,W,1,7,工程,工程
1C,巡查排水排污系统，内容：关注地面、车库、天面、路面、排水沟、集水井、雨水井、排水泵，污水井、排污管是否有堵塞,1.排水沟：无杂物，排水坡度合理，排水畅顺；2.集水井：无垃圾，积泥不超最底管道口；3.排污管：无堵塞，无漏水。,W,1,7,工程,工程
1C,配电房巡查，内容：1.防鼠挡板、超声防鼠器、排风口、漏网、配电柜、电压电流表读数、辅助工具是否正常；2.操作标识、状态标识、安全标识是否完好；3.是否有电工巡查管理且记录规范清晰。,1.工程人员巡查真实并有记录、环境卫生整洁；2.配电柜：无明显灰尘、工作电压、工作电流、功率因数数值稳定正常、指示灯正常；3.标识：有状态标识、安全标识、操作标识完好无损；4.配电柜有无噪声；5.继电器、交流接触器、断路器、闸刀开关：外表清洁，触点完好，无过热现象，无噪音；6.控制回路：压接良好、标号清晰，绝缘无变色老化。7.电容无功补偿：电容接触器良好，电容补偿三相平衡，电容器无发热膨胀，也不冰冷，接头不发热变色；8.母线排：压接良好，色标清晰，绝缘良好；9.门窗及防小动物设施：门窗开启灵活，无>10mm缝隙，无严重锈蚀；10.通风照明设施：通风网无>10mm小孔，无严重锈蚀；11.绝缘工具：正常有效，无损坏；12.灭火器：压力正常、无严重锈蚀。,W,1,7,工程,工程
1A,进行小区水表、电表抄报读数，建立能耗台帐。,抄表出错率不超过3‰。,M,1,31,工程,工程
1C,对二次供水的水池、水箱进行清洗。,1.每季度清1次；清洗人员100%持健康证；2.水质检测结果符合细菌总数Q80 CFU/mL，大肠菌群每100mL不得检出，无肉眼可见物，浑浊度Q1NTU，氯化物Q250mg/L。,Y,101,301,工程,工程
1C,对二次供水的水池、水箱进行清洗。,1.每季度清1次；清洗人员100%持健康证；2.水质检测结果符合细菌总数Q80 CFU/mL，大肠菌群每100mL不得检出，无肉眼可见物，浑浊度Q1NTU，氯化物Q250mg/L。,Y,401,630,工程,工程
1C,对二次供水的水池、水箱进行清洗。,1.每季度清1次；清洗人员100%持健康证；2.水质检测结果符合细菌总数Q80 CFU/mL，大肠菌群每100mL不得检出，无肉眼可见物，浑浊度Q1NTU，氯化物Q250mg/L。,Y,701,930,工程,工程
1C,对二次供水的水池、水箱进行清洗。,1.每季度清1次；清洗人员100%持健康证；2.水质检测结果符合细菌总数Q80 CFU/mL，大肠菌群每100mL不得检出，无肉眼可见物，浑浊度Q1NTU，氯化物Q250mg/L。,Y,1001,1231,工程,工程
1B,保持机房卫生，每日按公司规范要求进行清洁。,无灰尘，无水患，无乱堆乱放。,D,1,1,高配,高配
1C,巡查消防系统：控制中心、总控室网络系统、消防控制及设备系统，是否正常运作，是否存在安全隐患，必要时进行保养或维修。,1.设备完好率100%，无灰尘；2.各感应器正常有效；3.联动功能可正常使用。,D,1,1,弱电,弱电
1B,每天召开队会：1.检查部门下属人员出勤；2.召开班务会交待下属工作计划和人员调配。,无人员缺勤，当天任务100%安排完毕。,D,1,1,保安负责人,保安负责人
1C,抽查岗位出勤纪律，每日多次，内容与要求：1.队员在岗形象，岗位环境干净整洁，物品摆放有序；2.仪容仪表及在岗状态是否符合要求，如无吸烟，无脱岗，无睡岗。,1.男不留胡须，男短发梳理，男前发不盖眉、发侧不过耳，后不过领；2.女队员长发需用发结盘起，发不染色保持自然发色，头发干净无油污；3.穿着职业装；不戴任何首饰；指甲长不得超过2mm，不涂有色指甲油，指甲内无黑垢；4.工作环境整洁，物品摆放整齐；5.人员无吸烟，无脱岗，无睡岗。,D,1,1,保安负责人,保安负责人
1C,巡逻外围秩序：1.商铺及路面有无占道经营；2.有无乱堆乱放；3.有无安全隐患。,商铺无占道经营，无乱堆乱放，无乱停车，无跑冒滴漏，无安全隐患。,D,1,1,保安负责人,保安负责人
1C,巡查园区、停车场秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%；无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏。,D,1,1,保安负责人,保安负责人
1C,装修巡查：1.每日对装修户巡查多次；2.检查消防设施配备情况，有无消防隐患；3.检查装修人员是否持证上岗；4.发现异常立即处理，违规装修立即制止。,每天有队员巡查，灭火器有配备压力正常，无火灾隐患，装修人员身份100%有登记。,D,1,1,保安负责人,保安负责人
1C,抽查小区道闸系统、对讲系统等安防设备是否正常运行，有无损坏等安全隐患。,道闸完好无故障，对讲机完好无损坏，手电筒完好。,W,1,7,保安负责人,保安负责人
1C,巡查小区安全隐患点，内容：1.天台、女儿墙是否有搁置物；2.吊装绳是否完好且正常运行；3.排水口是否堵塞；4.易爬点防爬刺是否完好。,楼宇天面及女儿墙无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好。,W,1,7,保安负责人,保安负责人
1C,巡逻线路点检查：1.巡更点位是否完好齐整；2.检查队巡记录，是否按时巡查。,巡逻路线100%覆盖安全点，队员按时认真巡查，无作假情况。,W,1,7,保安负责人,保安负责人
1C,检查夜岗值班情况：1.凌晨时段小区夜间安全管理是否符合要求；2.有无人员睡岗、脱岗；3.检查值班记录表。,0点-6点时段完成查岗，无人睡岗，无脱岗。,W,1,7,保安负责人,保安负责人
1C,检查小区消防系统，内容：1.消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统是否正常；2.有无队员定期巡查；3.消防通道是否堵塞；4.每月进行一次联动测试，测试是否正常。,1.水压：当建筑高度不超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.07MPa；当建筑高度超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.15MPa；2.有队员按时巡查：3.消防通道无堵塞；4.联动正常，灭火器压力在黄区或绿区，消防栓水管及枪头完好；烟感、喷淋消防广播完好；应急灯完好。,M,1,31,保安负责人,保安负责人
1B,组织军体训练：擒敌拳、三大步伐、消防技能。,初次培训合格率不低于80%，二次培训合格率100%。,M,1,31,保安负责人,保安负责人
1B,保安部技能培训：每月至少组织一次员工技能培训或相关案例学习。,案例重现，现场模拟通过率100%。,M,1,31,保安负责人,保安负责人
1A,每月组织施实对团队或供应商的绩效考核，并对团队状态评估，采取合理激励措施。,考评结果有客观依据，考评等级以人数比例划分，符合20%“优秀”+70%“合格”+10%“要提升”的三级标准。,M,1,31,保安负责人,保安负责人
1A,上报制定物品领用计划、费用预算等报表。,1.非季节性物耗，按上个月度使用总量120%定预留库存量，按差额提报采购量；2.季节性物耗，按上年度同期用量的100%预留库存量，按差额提报采购量。下月费用根据业务需求控制在不超月度预算100%额内申请，超预算要说明。,M,1,31,保安负责人,保安负责人
1B,根据年度工作重点进行安排：消防演习，技能比武等事项的实施工作。,按时完成与实施，参与人员100%到场无缺岗。,Y,101,1231,保安负责人,保安负责人
1C,组织队伍交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,1.接手的物品完好可正常使用；2.任务100%了解清楚，知道任务目的与方法。,D,1,1,保安领班,保安领班
1B,上班前召开班务会，内容：1.检查队员仪容仪表和出勤是否正常；2.工作安排和人员调配。,1.无人员缺勤；当天任务100%安排完毕；2.男不留胡须，男短发梳理，男前发不盖眉、发侧不过耳，后不过领；3.女队员长发需用发结盘起，发不染色保持自然发色，头发干净无油污；4.穿着职业装；不戴任何首饰；指甲长不得超过2mm，不涂有色指甲油，指甲内无黑垢；5.当天任务100%有分配。,D,1,1,保安领班,保安领班
1C,每天至少多次抽查岗位纪律：人员形象、岗位环境，无吸烟，无脱岗，无睡岗。,1.无脱岗、无睡岗、无吸烟、无跷郎腿；2.访客到3米前，要主动招呼或盘问；3.岗位环境整洁、无垃圾、无异味、岗位物品摆放整齐。,D,1,1,保安领班,保安领班
1A,检查出入管理管控情况：1.生人来访进行盘问和登记；2.核查大件物品进出登记情况；3.核查出入申请功能使用情况。,1.可疑人员入园100%有盘查；2.来访人员100%有登记；3.大件物品出园100%有放行条；4.装修材料入园100%核实后放行并有登记.5.园区门禁能正常使用。,D,1,1,保安领班,保安领班
1C,巡逻外围秩序：1.商铺及路面有无占道经营；2.有无乱堆乱放；3.有无安全隐患。,商铺无占道经营，无乱堆乱放，无乱停车，无跑冒滴漏、无安全隐患,D,1,1,保安领班,保安领班
1C,巡查园区秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%，无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏,D,1,1,保安领班,保安领班
1C,巡查地下或地面停车场：1.无乱停乱放；2.无跑滴冒漏；3.无安全隐患。,车辆无乱停乱放，无跑滴冒漏，无安全隐患。,D,1,1,保安领班,保安领班
1C,巡查天台：1.女儿墙是否有搁置物；2.吊装绳是否完好安全3.排水口是否堵塞；4.易爬点防爬刺是否完好。,楼宇天面无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好。,D,1,1,保安领班,保安领班
1C,装修巡查：1.每日对装修户进行巡查；2.检查消防设施配备情况，有无消防隐患；3.检查装修人员是否持证上岗；4.发现异常立即处理，违规装修立即制止。,每天有队员巡查，灭火器有配备压力正常，无火灾隐患，装修人员身份100%有登记。,D,1,1,保安领班,保安领班
1C,监督抽查小区道闸、监控设备、对讲系统是否正常。,道闸完好无故障，对讲机完好无损坏，手电筒完好。,W,1,7,保安领班,保安领班
1C,巡逻线路点检查：1.巡更点位是否完好齐整；2.检查队巡记录，是否按时巡查。,队员按时认真完成巡查，无作假情况。,W,1,7,保安领班,保安领班
1C,交接班：1.查看对讲机等岗位设备是否完好无损；2.与上一班岗位进行遗留事件交接：工作设备是否完好，遗留事件是否清楚明晰。设备工具情况拍照上传存档。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,门岗,门岗
1B,门岗卫生保洁：1.岗亭内地面整洁，桌面物品摆放有序；2.岗亭周围无烟头、纸屑、果皮等垃圾。,岗亭5米范围内环境卫生监管或保洁，做到无明显垃圾，烟头，纸屑，油污。,D,1,1,门岗,门岗
1C,检查停车道闸设备：1.开闭闸是否正常，有无安全隐患；2.如有问题，通过管家田螺发布报修。,1.道闸完好无故障；2.对讲机完好无损坏；3.手电筒完好。,D,1,1,门岗,门岗
1A,装修材料进入管理：1.检查小区“装修材料”的进入登记情况，发现违规情况一律不予放行；2.核查出入申请功能使用情况。,1.可疑人员入园100%有盘查；2.来访人员100%有登记；3.装修材料入园100%核实。,D,1,1,门岗,门岗
1A,物品出园管理：大件物品出园，必须有业主签字的《物品放行条》才可放行，收存档记录（已用爱家田螺的物业，请核查出入申请功能使用情况）。,大件物品出园100%有放行条。,D,1,1,门岗,门岗
1C,交接班：1.查看对讲机等岗位设备是否完好无损；2.与上一班岗位进行遗留事件交接：工作设备是否完好，遗留事件是否清楚明晰。设备工具情况拍照上传存档。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,巡逻岗,巡逻岗
1C,检查安保巡防情况：1.周界报警、围墙、监控探头是否完好；2.防爬刺是否完好；3.有无安全隐患；4.安管队员是否进行巡查。,周界报警设备完好率100%，防爬刺完好无断丝，无人为无损坏，无可疑移位。,D,1,1,巡逻岗,巡逻岗
1C,巡逻外围秩序：1.商铺及路面有无占道经营；2.有无乱堆乱放；3.有无安全隐患。,商铺无占道经营，无乱堆乱放，无乱停车，无跑冒滴漏、无安全隐患。,D,1,1,巡逻岗,巡逻岗
1C,巡查园区、停车场秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%；无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏。,D,1,1,巡逻岗,巡逻岗
1C,巡查地下或地面停车场：1.无乱停乱放；2.无跑滴冒漏；3.无安全隐患。,车辆无乱停乱放，无跑滴冒漏，无安全隐患。,D,1,1,巡逻岗,巡逻岗
1C,巡查小区安全隐患点，内容：1.天台、女儿墙是否有搁置物；2.吊装绳是否完好且正常运行；3.排水口是否堵塞；4.易爬点防爬刺是否完好。,楼宇天面及女儿墙无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好。,D,1,1,巡逻岗,巡逻岗
1C,防台准备：1.发布防台预警通知；2.及时整改违章建筑，消除危险源；3.检查相关应急设备是否可以正常使用。,提前24小时完成防灾检查与准备。,Y,501,730,巡逻岗,巡逻岗
1C,防台准备：1.发布防台预警通知；2.及时整改违章建筑，消除危险源；3.检查相关应急设备是否可以正常使用。,提前24小时完成防灾检查与准备。,Y,801,1030,巡逻岗,巡逻岗
1C,防涝准备：1.发布防涝预警通知；2.防洪沙袋是否就位；3.对排洪设施进行检查；4.提前通知历史涝点的物品清理和车辆转移。,根据气象台发布暴雨预警等级，1.发布黄色预警：雨中安排每1小时至少巡查1次防涝点；2.发布橙色预警：雨中安排每30分钟至少巡查1次防涝点；3.发布红色预警：雨中安排人员定点监控防涝点。,Y,401,630,巡逻岗,巡逻岗
1C,防涝准备：1.发布防涝预警通知；2.防洪沙袋是否就位；3.对排洪设施进行检查；4.提前通知历史涝点的物品清理和车辆转移。,根据气象台发布暴雨预警等级，1.发布黄色预警：雨中安排每1小时至少巡查1次防涝点；2.发布橙色预警：雨中安排每30分钟至少巡查1次防涝点；3.发布红色预警：雨中安排人员定点监控防涝点。,Y,701,930,巡逻岗,巡逻岗
1C,进行交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,监控岗,监控岗
1A,日常监控工作记录，内容：1.监察是否有可疑人员走动；2.注意可疑情况或特别事件的潜在发生，如有异常及时通知巡逻岗及领班处理，并记清晰规范记录。,1.定时记录，记录情况无空白；2.可疑情况100%呼叫队员去核查。,D,1,1,监控岗,监控岗
1A,消防主机运行状态记录，内容：1.有报警声及时派发任务给巡逻岗查看，即使是误报也要记录在案；2.如遇到真实警情，尽快通知上级主管，按演练流程执行任务。,定时记录，记录情况无空白，产生警报100%呼叫队员去核查，属误报记录在案，真实警报1分钟内通知到上级主管。,D,1,1,监控岗,监控岗
1A,监控设施设备维护：1.设备有故障或损坏的，及时上报保安主管；2.通过管家田螺向工程维修人员发布报修。,故障100%有报修；超过48小时未修好，上报保安责任人；超过一周未修好，上报项目负责人。,D,1,1,监控岗,监控岗
1B,下班前打扫岗位卫生：地面干净整洁，物品摆放有序。,下班前后30分钟内完成清洁及整理，现场无垃圾、无烟头、桌面无灰尘。,D,1,1,监控岗,监控岗
1C,组织队伍交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,车库岗,车库岗
1B,岗亭卫生保洁：1.岗亭内地面整洁，桌面物品摆放有序；2.岗亭周围无烟头、纸屑、果皮等垃圾。,物品摆放整齐有序，收费票据无缺失，工作记录本无缺失、无破损，地面干净整洁。,D,1,1,车库岗,车库岗
1B,每天下班前清理岗位卫生：清扫地面、清抹桌子、物品归位。,下班前后30分钟内完成清洁及整理，现场无垃圾、无烟头、桌面无灰尘。,D,1,1,车库岗,车库岗
1A,每天检查核对车辆进出情况：1.车辆进出时间；2.收费和发票派发情况，做到票帐相符。,票账相符，无多收、无少收、无漏收。,D,1,1,车库岗,车库岗
1A,车辆出入统计：1.可疑车辆出入要核查登记；2.对异常、问题车辆进行拍照、备注并上报。,记录登记无错漏。,D,1,1,车库岗,车库岗
1A,关于费用上交办法：1.财务下班前，将当天收到的费用上交给财务；2.财务下班后，按要求妥善管理收到的费用，并在第二天财务上班后立即交财务。,财务下班前30分钟内完成费用提交，交接账目清晰，账、钱、票三项相符。,D,1,1,车库岗,车库岗
1C,检查驻场人员的工作着装、形象和岗位纪律。,穿工作服，身上无异味。,D,1,1,保洁负责人,保洁负责人
1C,检查果皮箱、垃圾桶及绿化垃圾是否及时清理。,垃圾超过桶深2/3，需要立即清理，平时定期清理。,D,1,1,保洁负责人,保洁负责人
1C,巡查车库（包含自行车库）、商铺、公共道路及外围的清洁卫生情况,无垃圾、无积水、无异味。,D,1,1,保洁负责人,保洁负责人
1C,抽查单元楼卫生情况，内容：单元门、大堂、地面、玻璃、设施、墙面、电梯、天花、地毯等是否存在异味、杂物堆放、乱贴乱画等现象。,无垃圾，无积水、无明显油迹、无异味、无杂物堆放、无乱贴乱画、无鼠虫迹、无蜘蛛网，坐椅无灰尘。,D,1,1,保洁负责人,保洁负责人
1C,检查小区路面、路灯、标识标牌、石材、景观清洁效果是否符合。,无垃圾，无积水、无乱贴乱画、无蜘蛛网。,D,1,1,保洁负责人,保洁负责人
1C,检查公共卫生间：1.地面、墙面、门、坑位等清洁，有无冲洗；2.垃圾及时倾倒，有无异味。,1.地面墙面整洁卫生，无垃圾、无苍蝇、坑位无粪便遗留；2.垃圾桶、垃圾篓的垃圾量不超过2/3。,D,1,1,保洁负责人,保洁负责人
1C,检查人流量多的主要出入口卫生情况，是否有巡回保洁，保洁效果是否达标。,早晚高峰期每30分钟巡回保洁1次。,D,1,1,保洁负责人,保洁负责人
1C,检查电梯保洁效果，要求：门槽、轿厢内无垃圾，无明显锈迹，无异味,轿厢内无垃圾、无异味、墙面无污渍无锈迹、按键无污渍、无蜘蛛网。,W,1,7,保洁负责人,保洁负责人
1C,检查消防通道扶手、护栏、楼道开关门窗的清洁剂擦抹情况。,扶手无灰尘、护栏无污渍、楼道无垃圾，开关无污渍、门窗无灰尘、通道无积水无油污。,W,1,7,保洁负责人,保洁负责人
1C,检查园区垃圾桶清洗情况，垃圾房、垃圾车冲洗情况。,无异味、无苍蝇，地面无污水横流、无垃圾。,W,1,7,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,101,301,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,401,630,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,701,930,保洁负责人,保洁负责人
1B,冬季除雪：路面防结冰，乔木防雪压。,路面结冰及时处理，无积雪压坏绿化。,Y,1001,1231,保洁负责人,保洁负责人
1B,组织浇水：只能早上傍晚浇、确保浇透而又不浪费。,1.雨天不浇，目测土壤含水量少于30%需要浇水；2.浇水浇根部，草本要浇透至土下约20厘米，乔木根据树根深度浇至50-100厘米度。,D,1,1,绿化负责人,绿化负责人
