1B,每日组织召开项目日会：1、了解及沟通协调各部门工作；2、对工作任务进行布置，落实执行人；3、可拍摄会议现场或会议纪要作为记录。,当天重点工作能分配派发完成，每项任务都有执行人,D,1,1,项目负责人,项目负责人
1C,每天巡查园区及外围，内容包括：1.【保洁】多个单元楼、园区及外围的卫生是否达到要求；2.【绿化】无病虫害、无杂草、无鼠洞、无枯死、定期修剪；3.【安全】人员、车辆、环境、消防等是否存在安全隐患；4.【设施设备】电梯、照明、给水排水、供配电等设施设备是否正常运作，有无损坏，是否有管理维护记录。,1.卫生符合要求、主管巡查及管理到位；2.绿化无病虫害、绿化带无生活垃圾、及时修剪；3.无未经许可人入园、车辆无乱停乱放、园区无安全隐患，安全无管理缺失，有管理记录；4.电梯运行正常、照明正常、门禁及弱电可正常使用，有维护及管理记录；,D,1,1,项目负责人,项目负责人
1C,检查每日投诉、报修、咨询记录：1.关注处理及时率、处理完成率、有无特别事件；2.对重点事项及时督办。,客服负责人有监督记录，处理及时率不低于90%，当天完成率不低于80%,D,1,1,项目负责人,项目负责人
1C,装修管理监督：抽查装修管理制度是否执行到位，是否有违规装修。,1.装修户100%已办理装修申请；2.装修户100%每天有人巡查；,W,1,7,项目负责人,项目负责人
1C,巡查配电房，内容：1.防鼠、防虫、防潮、防涝、防火等设施是否定期检查或更换；2.保养效果与标准是否符合要求；3.维保或管理记录是否规范完整。,1.房门有上锁，房内无水患，无垃圾无杂物堆放，防鼠挡板完好、工具摆放整齐；2.设备完好无损，无安全隐患；有按要求巡查，定期保养，,W,1,7,项目负责人,项目负责人
1C,巡查电梯机房运行及维保情况，内容要求：1.环境整洁、干净，无明显灰尘，无杂物，无鼠患；2.设备无异响及隐患，环境温度符合要求，设备运行正常,1.轿厢内无异味、无垃圾、年检证在有效期内、按键及层显正常；2.电梯机房温度合理，设备无异响、无水患、无明显灰尘，钢丝绳无起股断股现象，平层标识清楚，油封油量足够；3.有按时保养，设备运行正常。,W,1,7,项目负责人,项目负责人
1C,巡查水泵房，内容要求：1.泵体、管道、控制柜、水位报警、储压罐、水箱等设施完好，有日常巡视及保养记录。,1.控制柜有编号有标识；2.水泵运行无异响，管道无滴水漏水，压力值在安全范围内，水流导向指示清楚可见，测试排水泵可正常启动；3.水池水箱检修口上锁；                      4.有及时维保养及管理记录；,W,1,7,项目负责人,项目负责人
1C,巡查排水系统，内容要求：1.天面天台、排水口、排水沟、集水井、污水泵等设施设备是否正常；2.有问题及时通过发布任务安排人员处理。,1.楼顶天面无垃圾堆放；天面排水口无堵塞；2.地面排水沟无垃圾，排水通畅；3.集水井垃圾及时清掏、积水不得超过排水口最高点；4.测试污水泵可正常启动。,W,1,7,项目负责人,项目负责人
1C,巡查消防设施设备，内容要求（根据分管范围选择）：1.消防联动主机是否运行正常；2.室内消防栓箱内消防栓是否出水、灭火器压力及保质期是否正常、消防水枪水带是否完好；3、室外消防栓是否出水、压力是否充足。,1.探头可正常显示、无遮挡，定期记录情况；2.消控主机正常运行，设备无损坏，每次警报及时派人核实并有记录；3.消防设备齐全，无损坏无丢失，水管压力正常，灭火器压力正常，消防通道无堵塞，应急照明正常等。,W,1,7,项目负责人,项目负责人
1C,每周多次对供应商人员上班人数进行抽查，了解工作人数和工作要求是否达标。,无缺人少岗；单个人员连续缺岗时间不超过合理范围,W,1,7,项目负责人,项目负责人
1A,提交本月工作总结、下月计划：包括但不限于本月各专业的任务完成情总，收费进度与分析总结；下月工作计划及采购计划等。,月度重点工作有反馈、收费完成数与指标有对比、未完计划必须有说明与改进计划,M,1,31,项目负责人,项目负责人
1C,收支把控：对照《年度财务预算》，对比分析当月收支执行情况，如有问题请阐述，并及时制定解决方案。,完成支出不能超过预算100%，收入完成月度指标100%以上，超预算支出必须要有原因说明与调整计划,M,1,31,项目负责人,项目负责人
1A,绩效考核：每月初对员工或供应商上月的绩效及团队状态进行考核评估，并沟通反馈考评结果与意见。,考评结果有客观依据，符合20%优秀、70%合格、10%要提升,M,1,31,项目负责人,项目负责人
1B,监督项目培训计划落实：包括但不限于新员工培训，管理技巧、专业技能、专题学习等培训。,培训课程有审核、培训效果有考核，抽查人员已掌握,M,1,31,项目负责人,项目负责人
1A,进行业主拜访，参加业委会沟通会议：收集业主意见，对业委会进行重点工作沟通,1.意见合理、可快速落实的，立即布置完成；2.合理但需要时间处理的，告知客户计划安排；3.不合理的需求，要如实告知客户理由及原因（涉及公司敏感信息除外）；,M,1,31,项目负责人,项目负责人
1C,抽查危化物品存放是否安全受控：查看危化物品存放的仓库情况、摆放点、温度、湿度、标识等,1.存放地封闭上锁；2.危化物品名称、标识、成份组成清晰可见；3.急救方法说明张贴上墙，内容覆盖各类紧急情况（如误用、误食、误吸、误入眼各类危化物品）；4.易燃物品配有专用灭火设备，防毒面具无破损；,M,1,31,项目负责人,项目负责人
1C,对项目进行例行夜查（每月多次）：关注有无睡岗现象及人员在岗状态,0点-6点无规律突击检查，无人员睡岗脱岗,M,1,31,项目负责人,项目负责人
1C,检查客服前台环境：关注台面物品、桌椅摆放，及整体前台环境的卫生状况。,工作环境整洁、物品摆放整齐、无垃圾、无乱堆乱放。,D,1,1,客服负责人,客服负责人
1C,检查客服交接班记录：1.事件交接，物品交接，内容要求清楚明确；2.接班人员明确是谁，负责跟进处理。,1.换班100%有人交接，接班人及时到岗；2.交接事、物的内容没有遗漏，接班人了解清楚后续处理要求；,D,1,1,客服负责人,客服负责人
1C,检查客户接持记录，内容：1.投诉、报修、咨询等记录是否规范；2.客户反馈事务的处理、回复是否及时正确；3.关注处理及时率，报修完成率，回访率，响应时间等数据。,1.投诉、报修确保30分钟内100%响应，安排任务2.每项任务确保有人负责跟进处理，在指定时间内处理完成；3.如果无法处理，需要及时反馈客户说清楚情况，提供可行的处理建议；,D,1,1,客服负责人,客服负责人
1A,完成客服部门周报：包括工作计划完成情况，咨询、投诉、报修等数据统计分析，费用数据统计汇总等，并提报物业经理。,周报按时上交，报修、投诉、咨询统计数据完整无遗留，收费与指标有对照。,W,1,7,客服负责人,客服负责人
1A,完成客服月报：包括工作总结、工作计划，投诉、报修、咨询等数据统计分析等。,1.上月工作计划完成率不底于90%；2.下月工作计划重点工作100%覆盖；,M,1,31,客服负责人,客服负责人
1A,对重大事件导致的越级投诉，提出预防措施，进行专题汇报，报上级主管,事件报告客观反应事实、准确无误找到原因,M,1,31,客服负责人,客服负责人
1B,上、下班前交接班，内容与要求：1.清点办公物品，确认物品数量是否正确且完好；2.遗留事务做好安排，要有人持续跟进处理；3.如有任何问题或异常及时反馈，且在完成该任务时阐述。,交接事物无遗留、接手事按时完成跟进,D,1,1,前台客服,前台客服
1A,业主接待，内容与要求：1.投诉、表扬、报修、咨询、业务办理等；2.各项接待事务要记录清晰规范，及时安排处理并回复；3.通过管家田螺APP发布反馈的报修、投诉等问题，安排处理。,完成公司规定的：投诉处理及时率、完成维修及时率、报修完成率、咨询及时回复率等指标。,D,1,1,前台客服,前台客服
1A,制定工作周报，并提报给主管，内容：工作计划完成情况，客服数据分析，费用数据统计汇总。,周工作100%有描述，按实际进度汇报,W,1,7,前台客服,前台客服
1A,制定个人月度工作总结报告，提交部门主管。,月度总结无遗漏，重要的工作100%有描述,M,1,31,前台客服,前台客服
1A,档案整理：租户资料、业主资料、装修资料等，按要求规范装订成册，并放置业委会存档。,信息变动1工个作日内完成更新、信息无错误,M,1,31,前台客服,前台客服
1C,电梯外包服务工作监管，内容：1.进行月度保养时现场监督、拍照；2.根据电梯运行及保养状态进行月度考评并提报上级主管；,1.每月至少保养2次，每次保养时间间隔15天。2.现场保养作业效果如-室内环境：干净无明显灰尘，无杂物、无水患。温度：排风机或空调正常启动，机房温度不允许超过40摄氏度。设备运行：无异响，无不规律振动冲击。平层标识：平层准确度应无显著变化（平层标识与固定标识差额范围在5CM-8CM内）。主机控制柜：电气部件无因过热线路变色或发出焦热的臭味。钢丝绳：无起股，无断股。限速器：无损坏。辅属设施：防鼠挡板完好，缝隙不能>10MM；应急灯完好可以自己启动；灭火器压力正常。3.外包单位月度考核，依据月度监督结果产生。,M,1,31,工程负责人,工程负责人
1A,进行设备台帐与档案更新，统计设备完好率。,设备更新改造完成后的1周内完成档案更新，资料图纸无错误,M,1,31,工程负责人,工程负责人
1A,统计能耗台账，分析小区能耗费用。,1.能耗抄表数出错率控制在3‰之内，出错率超过需要列入下属员工考核。2.根据数据对用电量、用水量对比分析，波动超过历史、合理值的，查明原因，提出控制方法。,M,1,31,工程负责人,工程负责人
1C,抽查岗位出勤纪律，每日多次，内容与要求:1.队员在岗形象，岗位环境干净整洁，物品摆放有序；2.仪容仪表及在岗状态是否符合要求，如无吸烟，无脱岗，无睡岗；,1.男不留胡须，男短发梳理，男前发不盖眉、发侧不过耳，后不过领；2.女队员长发需用发结盘起，发不染色保持自然发色，头发干净无油污；3.穿着职业装；不带手饰；指甲长不得超过2mm，不涂有色指甲油，指甲内无黑垢。4.工作环境整洁，物品摆放整齐。5.人员无吸烟，无脱岗，无睡岗.,D,1,1,保安负责人,保安负责人
1C,检查安保巡防情况：1.周界报警、围墙、监控探头是否完好；2.防爬刺是否完好；3.是否存在安全隐患；4.安管队员是否进行巡查。,1.周界报警设备完好率100%；2.防爬刺完好无断丝，无人为无损坏，无可疑移位；3.无安全隐患4.队员有按时巡查,D,1,1,保安负责人,保安负责人
1C,巡查园区、停车场秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%，无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏,D,1,1,保安负责人,保安负责人
1C,抽查小区道闸系统、对讲系统等安防设备是否正常运行，有无损坏等安全隐患。,道闸完好无故障，对讲机完好无损坏，手电筒完好.,W,1,7,保安负责人,保安负责人
1C,巡查小区安全隐患点，内容：1.天台、女儿墙是否有搁置物；2.吊装绳是否完好且正常运行；3.排水口是否堵塞；4.易爬点防爬剌是否完好。,楼宇天面及女儿墙无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好,W,1,7,保安负责人,保安负责人
1A,制定保安部工作周报并提报给项目经理,上月工作计划完成率不低于90%，下月工作计划重点工作100%覆盖,W,1,7,保安负责人,保安负责人
1C,检查小区消防系统，内容：1.消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统是否正常；2.有无队员定期巡查；3.消防通道是否堵塞；4.每月进行一次联动测试，测试是否正常。,1.水压：当建筑高度不超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.07MPa；当建筑高度超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.15MPa；2.有队员按时巡查：3.消防通道无堵塞；4.联动正常，灭火器压力在黄区或绿区，消防栓水管及枪头完好；烟感、喷淋消防广播完好；应急灯完好。,M,1,31,保安负责人,保安负责人
1A,每月组织施实对团队或供应商的绩效考核，并对团队状态评估，采取合理激励措施。,考评结果有客观依据，考评等级以人数比例划分，符合20%“优秀”+70%“合格”+10%“要提升”的三级标准。,M,1,31,保安负责人,保安负责人
1C,组织队伍交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,1.接手的物品完好可正常使用；2.任务100%了解清楚，知道任务目的与方法,D,1,1,保安领班,保安领班
1B,上班前召开班务会，内容：1.检查队员仪容仪表和出勤是否正常；2.工作安排和人员调配。,1.无人员缺勤；当天任务100%安排完毕；2.男不留胡须，男短发梳理，男前发不盖眉、发侧不过耳，后不过领；3.女队员长发需用发结盘起，发不染色保持自然发色，头发干净无油污；4.穿着职业装；不带手饰；指甲长不得超过2mm，不涂有色指甲油，指甲内无黑垢。5.当天任务100%有分配。,D,1,1,保安领班,保安领班
1C,巡逻外围秩序：1.商铺及路面有无占道经营；2.有无乱堆乱放；3.有无安全隐患。,商铺无占道经营，无乱堆乱放，无乱停车，无跑冒滴漏、无安全隐患,D,1,1,保安领班,保安领班
1C,巡查园区、停车场秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%，无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏,D,1,1,保安领班,保安领班
1C,检查队伍交接班情况：1.清点物品数量并确认是否完好无损，若有问题要备注说明；2.查阅各岗位交接班记录是否规范准确，确认签字情况是否正常。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,门岗,门岗
1B,门岗卫生保洁：1.岗亭内地面整洁，桌面物品摆放有序；2.岗亭周围无烟头、纸屑、果皮等垃圾。,岗亭5米范围内环境卫生监管或保洁，做到无明显垃圾，烟头，纸屑，油污。,D,1,1,门岗,门岗
1C,检查停车道闸设备：1.开闭闸是否正常，有无安全隐患；2.如有问题，通过管家田螺发布报修。,1.道闸完好无故障；2.对讲机完好无损坏；3.手电筒完好.,D,1,1,门岗,门岗
1C,检查对讲机、充电座、警棍等安防电器是否正常。,对讲机完好无故障，警棍完好无丢失，手电筒完好无损可正常使用。,W,1,7,门岗,门岗
1C,检查安保巡防情况：1.周界报警、围墙、监控探头是否完好；2.防爬刺是否完好；3.有无安全隐患；4.安管队员是否进行巡查。,周界报警设备完好率100%，防爬刺完好无断丝，无人为无损坏，无可疑移位.,D,1,1,巡逻岗,巡逻岗
1C,巡逻外围秩序：1.商铺及路面有无占道经营；2.有无乱堆乱放；3.有无安全隐患。,商铺无占道经营，无乱堆乱放，无乱停车，无跑冒滴漏、无安全隐患,D,1,1,巡逻岗,巡逻岗
1C,巡查园区、停车场秩序维护，内容：1.园区有无可疑人员；2.公共安全提示是否完好；3.安全通道有无乱停乱放或堵塞情况。,无可疑人员入园，安全提示完好率100%，无乱停乱放，通道无堵塞，无搁置掉落风险物，无异响，无异味，无跑滴冒漏,D,1,1,巡逻岗,巡逻岗
1C,巡查小区安全隐患点，内容：1.天台、女儿墙是否有搁置物；2.吊装绳是否完好且正常运行；3.排水口是否堵塞；4.易爬点防爬剌是否完好。,楼宇天面及女儿墙无搁置物，天台无易飘落物，吊装绳无攀爬风险，天面排水口无堵塞，防爬刺完好,D,1,1,巡逻岗,巡逻岗
1C,检查小区消防系统，内容：1.消防栓、管道、水管、接头、烟感、喷淋、排风、应急灯、消防斧、消防钳、警报系统是否正常；2.有无队员定期巡查；3.消防通道是否堵塞；4.每月进行一次联动测试，测试是否正常。,1.水压：当建筑高度不超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.07MPa；当建筑高度超过100米时，高层建筑最大不利点消火栓静水压力不应低于0.15MPa；2.联动正常，灭火器压力在黄区或绿区，消防通道无堵塞；消防栓水管及枪头完好；烟感、喷淋消防广播完好；应急灯完好。,W,1,7,巡逻岗,巡逻岗
1C,进行交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,监控岗,监控岗
1A,日常监控工作记录，内容：1.监察是否有可疑人员走动2.注意可疑情况或特别事件的潜在发生，如有异常及时通知巡逻岗及领班处理，并记清晰规范记录。,1.定时记录，记录情况无空白；2.可疑情况100%呼叫队员去核查,D,1,1,监控岗,监控岗
1A,消防主机运行状态记录，内容:1.有报警声及时派发任务给巡逻岗查看，即使是误报也要记录在案；2.如遇到真实警情，尽快通知上级主管，按演练流程执行任务。,定时记录，记录情况无空白，产生警报100%呼叫队员去核查，属误报记录在案，真实警报1分钟内通知到上级主管,D,1,1,监控岗,监控岗
1B,下班前打扫岗位卫生:地面干净整洁，物品摆放有序。,下班前后30分钟内完成清洁及整理，现场无垃圾、无烟头、桌面无灰尘,D,1,1,监控岗,监控岗
1C,组织队伍交接班，内容：1.清点物品数量并确认完好性，如有问题要说明；2.查阅各岗位交接班记录是否规范准确，确认签字。,100%了解接手任务内容，接手的设备完好无损。,D,1,1,车库岗,车库岗
1B,岗亭卫生保洁：1.岗亭内地面整洁，桌面物品摆放有序；2.岗亭周围无烟头、纸屑、果皮等垃圾。,物品摆放整齐有序，收费票据无缺失，工作记录本无缺失、无破损，地面干净整洁。,D,1,1,车库岗,车库岗
1C,检查停车道闸设备：1.开闭闸是否正常，有无安全隐患；2.如有问题，通过管家田螺发布报修。,车库道闸完好无损，可正常使用,D,1,1,车库岗,车库岗
1A,车辆出入统计：1.可疑车辆出入要核查登记；2.对异常、问题车辆进行拍照、备注并上报。,记录登记无错漏,D,1,1,车库岗,车库岗
1C,检查果皮箱、垃圾桶及绿化垃圾是否及时清理.,垃圾超过桶深2/3需要立即清理，平时定期清理,D,1,1,保洁负责人,保洁负责人
1C,抽查单元楼卫生情况，内容：单元门、大堂、地面、玻璃、设施、墙面、电梯、天花、地毯等是否存在异味、杂物堆放、乱贴乱画等现象。,无垃圾，无积水、无明显油迹、无异味、无杂物堆放、无乱贴乱画、无鼠虫迹、无蜘蛛网，坐椅无灰尘。,D,1,1,保洁负责人,保洁负责人
1C,检查人工湖、喷水池等水系，内容：1.水质是否清澈无杂物，池边是否有青苔；2.设备是否完好，是否存在安全隐患。,无青苔、无漂浮物、无落叶、无生活垃圾、水质无异味,D,1,1,保洁负责人,保洁负责人
1C,检查电梯保洁效果，要求：门槽、轿厢内无垃圾，无明显锈迹，无异味。,轿厢内无垃圾、无异味、墙面无污渍无锈迹、按键无污渍、无蜘蛛网。,W,1,7,保洁负责人,保洁负责人
1C,检查地面及天台排水沟情况，要求：排水通畅无堵塞，如有问题及时安排人员疏通。,无垃圾，无堵塞、排水畅顺,W,1,7,保洁负责人,保洁负责人
1A,巡查工作计划落实情况，制定保洁部工作周报并提报项目经理。,上月工作计划完成率不低于90%，下月工作计划重点工作100%覆盖,W,1,7,保洁负责人,保洁负责人
1B,安排检查四害消杀区域是否正常，要求：积水地点灭蚊，捕鼠器放置点维护，蟑螂白蚁防治点维护，垃圾房除虫等,积水点无蚊子幼虫、无鼠害鼠迹、无白蚁、无苍蝇、无蟑螂。,M,1,31,保洁负责人,保洁负责人
1C,检查小区绿化生长情况，有无病虫害，修剪是否得当美观，有无杂草、垃圾、积水、鼠洞、裸露黄土等现象。,营养充足、无病虫害、修剪及时美观不走型，无野生杂草，无裸露黄土、无鼠洞、无生活垃圾,D,1,1,绿化负责人,绿化负责人
1A,巡查工作计划落实情况，制定保洁部工作周报并提报项目经理。,上月工作计划完成率不低于90%，下月工作计划重点工作100%覆盖,W,1,7,绿化负责人,绿化负责人
1B,根据季节，安排绿化除草、除虫、修剪、补种、防冻等工作(春秋补种及修剪、春夏除草除虫、冬防冻),杂草在超过种植绿化高度之前除掉；除虫效果100%灭杀；生长修剪保持原形，整形修剪美观有层次；补种成活率90%以上，防冻成功率100%,M,1,31,绿化负责人,绿化负责人
